team_name,common_name,season,matches_played,league_position,points_per_game,league_position_home,league_position_away,goals_scored,goals_conceded,goal_difference,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,clean_sheets,clean_sheets_home,clean_sheets_away,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away
Arsenal FC,Arsenal,2018/2019,38,5,1.84,3,8,73,51,22,42,31,16,35,26,-4,8,7,1,1.43,1.6,1.25,1.44,1.29,1.6
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,38,4,1.87,5,3,67,39,28,34,33,16,23,18,10,13,7,6,1.58,1.74,1.42,1.35,1.28,1.42
Manchester City FC,Manchester City,2018/2019,38,1,2.58,1,1,95,23,72,57,38,12,11,45,27,20,9,11,2.18,2.45,1.9,0.79,0.75,0.83
Leicester City FC,Leicester City,2018/2019,38,9,1.37,11,7,51,48,3,24,27,20,28,4,-1,10,6,4,1.56,1.7,1.4,1.32,1.19,1.45
Crystal Palace FC,Crystal Palace,2018/2019,38,12,1.29,18,6,51,53,-2,19,32,23,30,-4,2,12,7,5,1.36,1.51,1.2,1.53,1.31,1.75
Everton FC,Everton,2018/2019,38,8,1.42,7,12,54,46,8,30,24,21,25,9,-1,14,9,5,1.45,1.55,1.35,1.25,1.19,1.31
Burnley FC,Burnley,2018/2019,38,15,1.05,15,14,45,68,-23,24,21,32,36,-8,-15,8,5,3,0.9,1.01,0.78,1.67,1.46,1.89
Southampton FC,Southampton,2018/2019,38,16,1.03,14,15,45,65,-20,27,18,30,35,-3,-17,7,3,4,1.35,1.44,1.26,1.47,1.36,1.58
AFC Bournemouth,AFC Bournemouth,2018/2019,38,14,1.18,10,16,56,70,-14,30,26,25,45,5,-19,10,6,4,1.35,1.34,1.35,1.48,1.47,1.49
Manchester United FC,Manchester United,2018/2019,38,6,1.74,6,4,65,54,11,33,32,25,29,8,3,7,2,5,1.63,1.77,1.48,1.44,1.34,1.54
Liverpool FC,Liverpool,2018/2019,38,2,2.55,2,2,89,22,67,55,34,10,12,45,22,21,12,9,1.9,2.12,1.67,0.96,0.85,1.06
Chelsea FC,Chelsea,2018/2019,38,3,1.89,4,5,63,39,24,39,24,12,27,27,-3,16,10,6,1.71,1.86,1.57,1.14,1.03,1.25
West Ham United FC,West Ham United,2018/2019,38,10,1.37,9,11,52,55,-3,32,20,27,28,5,-8,7,4,3,1.35,1.48,1.22,1.55,1.31,1.78
Watford FC,Watford,2018/2019,38,11,1.32,12,9,52,59,-7,26,26,28,31,-2,-5,7,4,3,1.16,1.2,1.13,1.5,1.4,1.6
Newcastle United FC,Newcastle United,2018/2019,38,13,1.18,13,13,42,48,-6,24,18,25,23,-1,-5,11,5,6,1.1,1.27,0.93,1.42,1.21,1.64
Cardiff City FC,Cardiff City,2018/2019,38,18,0.89,19,17,34,69,-35,21,13,38,31,-17,-18,10,5,5,1.07,1.15,1.0,1.63,1.43,1.83
Fulham FC,Fulham,2018/2019,38,19,0.68,17,20,34,81,-47,22,12,36,45,-14,-33,5,3,2,1.14,1.32,0.97,1.7,1.6,1.79
Brighton & Hove Albion FC,Brighton & Hove Albion,2018/2019,38,17,0.95,16,18,35,60,-25,19,16,28,32,-9,-16,7,5,2,0.9,0.98,0.82,1.58,1.32,1.84
Huddersfield Town FC,Huddersfield Town,2018/2019,38,20,0.42,20,19,22,76,-54,10,12,31,45,-21,-33,5,3,2,0.94,0.98,0.88,1.48,1.34,1.62
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2018/2019,38,7,1.5,8,10,47,46,1,28,19,21,25,7,-6,9,7,2,1.36,1.46,1.25,1.32,1.28,1.35
